isin,mbank_name,full_name,figi_ticker,exchange_code,security_type,market_sector,figi,source
PLBRE0000012,MBANK,MBANK SA,MBK,PW,Common Stock,Equity,BBG000DCTP92,openfigi
PLBIG0000016,MILLENNIUM,BANK MILLENNIUM SA,MIL,PW,Common Stock,Equity,BBG000DCTR89,openfigi
PLMRBUD00015,MIRBUD,MIRBUD SA,MRB,PW,Common Stock,Equity,BBG000RSFX27,openfigi
PLMOBRK00013,MOBRUK,MO-BRUK J MOKRZYCKI LTD,MBR,PW,Common Stock,Equity,BBG001D877Q4,openfigi
HU0000153937,MOL,MOL HUNGARIAN OIL AND GAS PL,MOL,HB,Common Stock,Equity,BBG000FZ5LX7,openfigi
PLMURPL00190,MURAPOL,MURAPOL SA,MUR,PW,Common Stock,Equity,BBG013P0KW01,openfigi
PLTRFRM00018,NEUCA,NEUCA SA,NEU,PW,Common Stock,Equity,BBG000Q4KL94,openfigi
PLNEWAG00012,NEWAG,NEWAG SA,NWG,PW,Common Stock,Equity,BBG005L9DRX5,openfigi
PLTLKPL00017,ORANGEPL,ORANGE POLSKA SA,OPL,PW,Common Stock,Equity,BBG000F6YJD6,openfigi
PLPEKAO00016,PEKAO,BANK PEKAO SA,PEO,PW,Common Stock,Equity,BBG000F714H9,openfigi
NL0015000AU7,PEPCO,PEPCO GROUP NV,PCO,PW,Common Stock,Equity,BBG010FN09V7,openfigi
PLPGER000010,PGE,PGE SA,PGE,PW,Common Stock,Equity,BBG000BP0PD1,openfigi
PLPKN0000018,PKNORLEN,ORLEN SA,PKN,PW,Common Stock,Equity,BBG000D0JDP8,openfigi
PLPKO0000016,PKOBP,PKO BANK POLSKI SA,PKO,PW,Common Stock,Equity,BBG000BMWXJ0,openfigi
PLPKPCR00011,PKPCARGO,PKP CARGO SA,PKP,PW,Common Stock,Equity,BBG0042Y52H6,openfigi
PLPLAYW00015,PLAYWAY,PLAYWAY SA,PLW,PW,Common Stock,Equity,BBG00DSX43F1,openfigi
PLPZU0000011,PZU,POWSZECHNY ZAKLAD UBEZPIECZE,PZU,PW,Common Stock,Equity,BBG000BTY1D9,openfigi
PLQRCUS00012,QUERCUS,QUERCUS TFI SA,QRS,PW,Common Stock,Equity,BBG000DKC505,openfigi
PLRNBWT00031,RAINBOW,RAINBOW TOURS SA,RBW,EU,Common Stock,Equity,BBG000THDL45,openfigi
PLBZ00000044,SANPL,SANTANDER BANK POLSKA SA,BKZHF,US,Common Stock,Equity,BBG000BJ9WF9,openfigi
PLSLVCR00029,SELVITA,SELVITA CRO SA,SLV,PW,Common Stock,Equity,BBG00QKSQVG4,openfigi
PLSHPR000021,SHOPER,SHOPER SA,SHO,PW,Common Stock,Equity,BBG011MS0Y69,openfigi
PLSTLEX00019,STALEXP,STALEXPORT AUTOSTRADY SA,STX,PW,Common Stock,Equity,BBG000MH22G3,openfigi
PLCMPLD00016,SYGNITY,SYGNITY SA,SGN,PW,Common Stock,Equity,BBG000MH5635,openfigi
PLSNKTK00019,SYNEKTIK,SYNEKTIK SA,SNT,PW,Common Stock,Equity,BBG001Y31JK8,openfigi
PLTAURN00011,TAURONPE,TAURON POLSKA ENERGIA SA,TPE,PW,Common Stock,Equity,BBG000RRSB32,openfigi
PLLVTSF00010,TEXT,TEXT SA,TXT,PW,Common Stock,Equity,BBG006B5TH67,openfigi
PLTORPL00016,TORPOL,TORPOL SA,TOR,PW,Common Stock,Equity,BBG006S735L2,openfigi
PLTOYA000011,TOYA,TOYA SA,TOA,PW,Common Stock,Equity,BBG001XQXFN8,openfigi
PLTSQGM00016,TSGAMES,TEN SQUARE GAMES SA,TEN,PW,Common Stock,Equity,BBG00KP793W1,openfigi
PLUNMOT00013,UNIMOT,UNIMOT SA,UNT,PW,Common Stock,Equity,BBG003CXJ5N0,openfigi
PLVRCM000016,VERCOM,VERCOM SA- D,VRC,PW,Common Stock,Equity,BBG0108LVM46,openfigi
PLVOXEL00014,VOXEL,VOXEL SA,VOX,PW,Common Stock,Equity,BBG0024QVW44,openfigi
PLWRTPL00027,WIRTUALNA,WIRTUALNA POLSKA HOLDING SA,WPL,PW,Common Stock,Equity,BBG008F7XFS0,openfigi
PLWTCHN00030,WITTCHEN,WITTCHEN SA,WTN,PW,Common Stock,Equity,BBG0020B44H9,openfigi
PLXTRDM00011,XTB,X-TRADE BROKERS DOM MAKLERSK,XTB,PW,Common Stock,Equity,BBG00CMM7YZ0,openfigi
LU2910446546,ZABKA,ZABKA GROUP SA,ZAB,PW,Common Stock,Equity,BBG01Q3NJQK7,openfigi
