original_number,isin,name,mic,market_code,currency,instrument_type,ticker_bloomberg,ticker_google,yf_symbol,exchange_name
1698,US71654V1017,PETROLEO BRASIL/S-ADR PETROBRASILS,XNYS,USA-NYSE,USD,ADR_GDR,PBR/A:US,,PBR/A,NEW YORK STOCK EXCHANGE
1711,US8356993076,SONY CORP-ADR SONY,XNYS,USA-NYSE,USD,ADR_GDR,SNE:US,CORP,SNE,NEW YORK STOCK EXCHANGE
1716,US8793822086,TELEFONICA-ADR,XNYS,USA-NYSE,USD,ADR_GDR,TEF:US,TELEFONICA,TEF,NEW YORK STOCK EXCHANGE
1739,US07725L1026,BEIGENE LTD-ADR BEIGENE,XNAS,USA-NASDAQ,USD,ADR_GDR,BGNE:US,LTD,BGNE,NASDAQ
1785,US92937A1025,WPP PLC-ADR WPP,XNAS,USA-NASDAQ,USD,ADR_GDR,WPPGY:US,PLC,WPPGY,NASDAQ
1793,LU2611732046,AMUNDI DAX UCITS ETF C0001 GR,XETR,DEU-XETRA,EUR,ETF,C0001:GR,ETF,C0001.DE,DEUTSCHE BÖRSE
1801,LU2611732475,AMUNDI SDAX UCITS ETF DIST C005 GR,XETR,DEU-XETRA,EUR,ETF,C0005:GR,ETF,C0005.DE,DEUTSCHE BÖRSE
1810,IE00020O1MD6,CD1G GR,XETR,DEU-XETRA,EUR,ETF,CD1G:GR,ETF,CD1G.DE,DEUTSCHE BÖRSE
1992,IE00BD8PGZ49,DTLE GR,XETR,DEU-XETRA,EUR,ETF,DTLE:GR,ETF,DTLE.DE,DEUTSCHE BÖRSE
2078,JE00B2NFTL95,WISDOMTREE 2X DAILY LONG GOLD 4RT8 GR,XETR,DEU-XETRA,EUR,ETF,4RT8:GR,ETF,4RT8.DE,DEUTSCHE BÖRSE
2079,JE00B2NFTS64,WISDOMTREE 2X DAILY LONG SILVER 4RUE GR,XETR,DEU-XETRA,EUR,ETF,4RUE:GR,ETF,4RUE.DE,DEUTSCHE BÖRSE
2080,JE00BDD9Q840,4RT6 GR,XETR,DEU-XETRA,EUR,ETF,4RT6:GR,ETF,4RT6.DE,DEUTSCHE BÖRSE
2081,JE00B78CGV99,WISDOMTREE BRENT CRUDE OOEA GR,XETR,DEU-XETRA,EUR,ETF,OOEA:GR,ETF,OOEA.DE,DEUTSCHE BÖRSE
2082,JE00BN7KB557,WISDOMTREE COFFEE OD7B GR,XETR,DEU-XETRA,EUR,ETF,OD7B:GR,ETF,OD7B.DE,DEUTSCHE BÖRSE
2083,GB00B15KXQ89,WISDOMTREE COPPER OD7C GR,XETR,DEU-XETRA,EUR,ETF,OD7C:GR,ETF,OD7C.DE,DEUTSCHE BÖRSE
2084,IE0002Y8CX98,WDEF GR,XETR,DEU-XETRA,EUR,ETF,WDEF:GR,ETF,WDEF.DE,DEUTSCHE BÖRSE
2088,GB00B15KY211,WISDOMTREE NICKEL OD7M GR,XETR,DEU-XETRA,EUR,ETF,OD7M:GR,ETF,OD7M.DE,DEUTSCHE BÖRSE
2089,JE00B1VS3770,WISDOMTREE PHYSICAL GOLD VZLD GR,XETR,DEU-XETRA,EUR,ETF,VZLD:GR,ETF,VZLD.DE,DEUTSCHE BÖRSE
2090,JE00B1VS2W53,WISDOMTREE PHYSICAL PLATINUM VZLA GR,XETR,DEU-XETRA,EUR,ETF,VZLA:GR,ETF,VZLA.DE,DEUTSCHE BÖRSE
2091,JE00B1VS3333,WISDOMTREE PHYSICAL SILVER VZLC GR,XETR,DEU-XETRA,EUR,ETF,VZLC:GR,ETF,VZLC.DE,DEUTSCHE BÖRSE
2092,GB00B15KY658,WISDOMTREE SUGAR OD7R GR,XETR,DEU-XETRA,EUR,ETF,OD7R:GR,ETF,OD7R.DE,DEUTSCHE BÖRSE
2093,JE00BN7KB664,WISDOMTREE WHEAT OD7S GR,XETR,DEU-XETRA,EUR,ETF,OD7S:GR,ETF,OD7S.DE,DEUTSCHE BÖRSE
2094,GB00B15KXV33,WISDOMTREE WTI CRUDE OIL OD7F GR,XETR,DEU-XETRA,EUR,ETF,OD7F:GR,ETF,OD7F.DE,DEUTSCHE BÖRSE
2125,IE00BLRPRR04,RULIFE LN,XLON,GBR-LSE,USD,ETF,RULIFE:LN,ETF,RULIFE.L,LONDON STOCK EXCHANGE
2127,LU2009202107,LYEMXC LN,XLON,GBR-LSE,USD,ETF,LYEMXC:LN,ETF,LYEMXC.L,LONDON STOCK EXCHANGE
2167,IE00BK80XL30,MCHIN LN,XLON,GBR-LSE,USD,ETF,MCHIN:LN,ETF,MCHIN.L,LONDON STOCK EXCHANGE
2291,IE000BXC49I6,JPJSEG LN,XLON,GBR-LSE,USD,ETF,JPJSEG:LN,ETF,JPJSEG.L,LONDON STOCK EXCHANGE
2306,IE00B44Z5B48,SPDR MSCI ACWI UCITS ETF ACWD LN,XLON,GBR-LSE,USD,ETF,ECWD:LN,ETF,ECWD.L,LONDON STOCK EXCHANGE
2339,IE00BYXVGX24,THE FIDELITY US QUALITY INCOME UCITS FIFUSD LN,XLON,GBR-LSE,USD,ETF,FIFUSD:LN,ET,FIFUSD.L,LONDON STOCK EXCHANGE
2345,IE00BLPK3577,WCBR LN,XLON,GBR-LSE,USD,ETF,WCBR:LN,ETF,WCBR.L,LONDON STOCK EXCHANGE
